opta_id,game_id,team_id,opp_team_id,home_away,match_day,full_name,birth_date,country,soccRole,position,team,opponent_team,mins_played,touches,xG,npxG,opxG,opshots,opgoals,goals,xA,opxA,xOVA,xA_received,xT,xT_pass,xT_carry,xT_from_passes_received,xg_blocked,xg_against_team
85288,2228904,123,1025.0,h,1,Lukasz Skorupski,1991-05-05,Poland,GK,Goalkeeper,Bologna,Salernitana,90,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064968,0.0020388,0.0015733,0.0006089,0.0178618,0.0178618,0.0,-0.0101094,0.495167,1.5728133
85288,2228914,123,456.0,a,2,Lukasz Skorupski,1991-05-05,Poland,GK,Goalkeeper,Bologna,Atalanta,90,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052174,0.005154,0.0033836,0.0020536,0.0142977,0.0133154,0.0009823,-0.0341864,0.0762557,1.1007209
85288,2228925,123,126.0,h,3,Lukasz Skorupski,1991-05-05,Poland,GK,Goalkeeper,Bologna,Verona,90,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078795,0.007782,0.0065686,0.0012134,0.0520771,0.0505223,0.0015548,-0.0121759,0.0,0.2688359
85288,2228937,123,127.0,a,4,Lukasz Skorupski,1991-05-05,Poland,GK,Goalkeeper,Bologna,Internazionale,90,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019121,0.0018551,0.0008664,0.0011169,0.0176215,0.0166766,0.0009449,-0.0146023,0.480797,3.8554967
85288,2228945,123,990.0,h,5,Lukasz Skorupski,1991-05-05,Poland,GK,Goalkeeper,Bologna,Genoa,90,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022067,0.0020168,0.0009301,0.001218,0.0161657,0.0149338,0.0012319,-0.0128496,0.5096778,1.7536148
85288,2228954,123,695.0,a,6,Lukasz Skorupski,1991-05-05,Poland,GK,Goalkeeper,Bologna,Empoli,90,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016963,0.0016963,0.0009375,0.0008862,0.0128742,0.0132353,-0.0003611,-0.0124146,0.2286711,1.5077669
85288,2228965,123,129.0,h,7,Lukasz Skorupski,1991-05-05,Poland,GK,Goalkeeper,Bologna,Lazio,90,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040637,0.0029049,0.0014517,0.0015479,0.0548271,0.0518567,0.0029704,-0.0182746,0.7441151,0.924318
85288,2228982,123,136.0,a,8,Lukasz Skorupski,1991-05-05,Poland,GK,Goalkeeper,Bologna,Udinese,90,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010187,0.0009552,0.000283,0.0007306,0.0061859,0.0061859,0.0,-0.0116346,0.3766747,1.0800076
85288,2228985,123,120.0,h,9,Lukasz Skorupski,1991-05-05,Poland,GK,Goalkeeper,Bologna,Milan,90,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003122,0.0025211,0.0020066,0.0006175,0.0282026,0.0294042,-0.0012016,-0.0134518,0.1708466,1.3881582
85288,2228999,123,459.0,a,10,Lukasz Skorupski,1991-05-05,Poland,GK,Goalkeeper,Bologna,Napoli,90,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023753,0.0020142,0.0016457,0.0004737,0.0128065,0.0128065,0.0,-0.0080641,0.2242497,2.7234493
